city,date,conditions
"Pasco/Kennewick/Richland, WA",2019-03-25,Clear
"New York, NY",2018-11-12,Rain
"Cincinnati, OH",2018-09-08,"Rain, Overcast"
"Nashville, TN",2018-10-06,Partially cloudy
"Minneapolis, MN",2019-09-25,Clear
"Williston, ND",2019-11-28,Partially cloudy
"New Orleans, LA",2019-09-11,"Rain, Partially cloudy"
"Evansville, IN",2019-09-10,Clear
"Denver, CO",2019-04-18,Partially cloudy
"St. Louis, MO",2018-08-14,"Rain, Partially cloudy"
"Minneapolis, MN",2018-11-15,"Rain, Partially cloudy"
"Philadelphia, PA",2019-01-17,"Snow, Partially cloudy"
"Phoenix, AZ",2018-03-26,Partially cloudy
"San Diego, CA",2019-11-30,"Rain, Partially cloudy"
"Tampa, FL",2019-05-27,Clear
"San Diego, CA",2018-06-28,Partially cloudy
"Des Moines, IA",2018-11-05,"Rain, Overcast"
"Phoenix, AZ",2019-11-29,"Rain, Partially cloudy"
"Houston, TX",2018-05-04,"Rain, Overcast"
"Los Angeles, CA",2019-09-08,Clear
"Vernal, UT",2018-08-18,Rain
"Chicago, IL",2019-07-20,"Rain, Partially cloudy"
"Nashville, TN",2018-09-12,Partially cloudy
"Columbus, OH",2019-05-23,"Rain, Partially cloudy"
"Peoria, IL",2018-12-22,Partially cloudy
"Columbus, OH",2019-03-20,Partially cloudy
"Tampa, FL",2019-11-28,Partially cloudy
"Milwaukee, WI",2019-02-17,"Snow, Overcast"
"Ontario, CA",2019-12-03,Partially cloudy
"Salt Lake City, UT",2019-03-24,"Rain, Partially cloudy"
"Chicago, IL",2018-12-23,Overcast
"Salt Lake City, UT",2019-03-13,"Snow, Overcast"
"San Francisco, CA",2018-04-11,"Rain, Partially cloudy"
"Chicago, IL",2018-07-07,Clear
"Charlotte, NC",2018-06-14,Partially cloudy
"Denver, CO",2018-02-06,Partially cloudy
"Providence, RI",2018-09-02,Partially cloudy
"Dallas, TX",2019-05-19,Partially cloudy
"Charlotte, NC",2019-06-23,Partially cloudy
"Detroit, MI",2018-07-12,Clear
"Kona, HI",2019-10-09,Rain
"Boston, MA",2018-07-10,Partially cloudy
"Wilmington, NC",2018-05-13,Clear
"Dallas/Fort Worth, TX",2018-08-05,Partially cloudy
"Las Vegas, NV",2019-09-30,Clear
"Chicago, IL",2019-11-12,Snow
"Chicago, IL",2019-10-28,Partially cloudy
"Philadelphia, PA",2018-03-19,Partially cloudy
"Dallas/Fort Worth, TX",2018-03-09,Partially cloudy
"Newark, NJ",2018-11-29,"Rain, Overcast"
"Chicago, IL",2018-03-30,Overcast
"Boston, MA",2019-07-24,Partially cloudy
"Jacksonville, FL",2019-11-19,Clear
"Orlando, FL",2018-12-04,"Rain, Overcast"
"Salt Lake City, UT",2019-05-16,"Rain, Partially cloudy"
"Washington, DC",2018-07-18,Partially cloudy
"Spokane, WA",2018-08-28,Partially cloudy
"Los Angeles, CA",2019-09-16,Clear
"Columbus, OH",2018-08-09,Partially cloudy
"Lansing, MI",2018-01-25,Partially cloudy
"Charleston/Dunbar, WV",2018-02-25,"Rain, Overcast"
"Dallas/Fort Worth, TX",2019-02-15,Partially cloudy
"Phoenix, AZ",2019-11-30,"Rain, Partially cloudy"
"Charlotte, NC",2018-06-09,"Rain, Partially cloudy"
"Minneapolis, MN",2019-01-30,Partially cloudy
"Dallas/Fort Worth, TX",2019-02-02,"Rain, Partially cloudy"
"Indianapolis, IN",2019-11-28,Overcast
"Louisville, KY",2019-08-14,Partially cloudy
"Minneapolis, MN",2019-07-03,"Rain, Partially cloudy"
"Bloomington/Normal, IL",2018-09-30,"Rain, Partially cloudy"
"Philadelphia, PA",2019-10-29,"Rain, Overcast"
"Helena, MT",2019-07-15,Rain
"Minneapolis, MN",2019-11-28,Overcast
"Portland, OR",2019-11-08,Clear
"Minneapolis, MN",2018-12-17,Clear
"Charlotte, NC",2018-02-11,"Rain, Overcast"
"St. Louis, MO",2019-12-11,Clear
"Seattle, WA",2018-02-21,"Snow, Partially cloudy"
"Denver, CO",2019-10-15,Clear
"Hartford, CT",2019-01-24,"Rain, Overcast"
"Dallas/Fort Worth, TX",2018-07-13,Partially cloudy
"Dallas, TX",2018-11-24,Partially cloudy
"Sacramento, CA",2019-06-22,Clear
"Dallas/Fort Worth, TX",2018-12-15,Clear
"Minneapolis, MN",2019-09-26,Partially cloudy
"Honolulu, HI",2018-01-03,Partially cloudy
"Grand Rapids, MI",2019-03-03,Overcast
"West Palm Beach/Palm Beach, FL",2019-05-12,"Rain, Partially cloudy"
"Washington, DC",2018-09-16,Overcast
"Washington, DC",2019-06-10,"Rain, Overcast"
"Champaign/Urbana, IL",2019-04-18,"Rain, Partially cloudy"
"Washington, DC",2019-02-17,"Rain, Partially cloudy"
"Newark, NJ",2019-10-19,Partially cloudy
"Houston, TX",2018-09-06,"Rain, Partially cloudy"
"Burbank, CA",2019-01-22,Clear
"Dallas, TX",2019-10-27,Clear
"San Jose, CA",2019-01-13,Partially cloudy
"Phoenix, AZ",2019-11-26,Partially cloudy
"Atlanta, GA",2018-07-18,Partially cloudy
"Portland, ME",2018-09-01,Partially cloudy
"Washington, DC",2019-01-29,"Snow, Overcast"
"Los Angeles, CA",2019-07-18,Partially cloudy
"San Jose, CA",2018-05-08,Partially cloudy
"Atlanta, GA",2018-11-08,"Rain, Overcast"
"New York, NY",2019-07-03,Rain
"Salt Lake City, UT",2018-01-05,Partially cloudy
"Traverse City, MI",2018-07-09,Partially cloudy
"Cincinnati, OH",2018-06-06,Partially cloudy
"St. Louis, MO",2018-08-10,Rain
"Fayetteville, AR",2018-05-26,Clear
"New York, NY",2018-09-08,"Rain, Partially cloudy"
"Spokane, WA",2018-01-06,"Rain, Overcast"
"Dallas/Fort Worth, TX",2018-02-09,Overcast
"Dallas/Fort Worth, TX",2019-01-11,"Rain, Overcast"
"Providence, RI",2018-01-25,Clear
"Dallas/Fort Worth, TX",2019-09-22,Partially cloudy
"Washington, DC",2019-03-05,Partially cloudy
"Greensboro/High Point, NC",2019-06-10,"Rain, Overcast"
"Atlanta, GA",2018-04-04,"Rain, Partially cloudy"
"Washington, DC",2018-05-25,Partially cloudy
"Gulfport/Biloxi, MS",2019-05-10,"Rain, Partially cloudy"
"Ontario, CA",2019-06-13,Partially cloudy
"Wilmington, NC",2019-05-13,Partially cloudy
"Fayetteville, AR",2019-09-12,Clear
"Dallas/Fort Worth, TX",2018-03-26,Overcast
"Atlanta, GA",2018-09-06,Partially cloudy
"Baltimore, MD",2019-09-15,Partially cloudy
"Buffalo, NY",2018-09-11,"Rain, Overcast"
"Houston, TX",2018-08-10,"Rain, Partially cloudy"
"Washington, DC",2018-12-25,Partially cloudy
"Atlanta, GA",2019-12-11,"Rain, Partially cloudy"
"Denver, CO",2019-11-05,Clear
"Atlanta, GA",2019-02-17,"Rain, Overcast"
"Detroit, MI",2019-11-19,"Snow, Partially cloudy"
"Honolulu, HI",2018-03-19,Partially cloudy
"Provo, UT",2019-07-03,Clear
"Seattle, WA",2018-07-14,Clear
"Los Angeles, CA",2018-11-10,Partially cloudy
"Boston, MA",2019-03-25,Partially cloudy
"Dallas/Fort Worth, TX",2018-02-26,Partially cloudy
"Raleigh/Durham, NC",2018-08-14,"Rain, Partially cloudy"
"Seattle, WA",2019-04-18,"Rain, Overcast"
"Austin, TX",2019-02-12,Clear
"Houston, TX",2018-05-26,"Rain, Partially cloudy"
"Houston, TX",2018-11-02,Clear
"Cleveland, OH",2018-12-04,"Rain, Overcast"
"Newark, NJ",2019-10-23,"Rain, Partially cloudy"
"Los Angeles, CA",2018-10-03,Overcast
"Charlotte, NC",2019-05-27,Partially cloudy
"Charlotte, NC",2019-01-01,"Rain, Partially cloudy"
"Newark, NJ",2018-03-27,Overcast
"Dallas/Fort Worth, TX",2019-11-03,Clear
"Philadelphia, PA",2019-06-08,Partially cloudy
"Denver, CO",2019-01-20,Partially cloudy
"Orlando, FL",2018-08-29,Rain
"Newark, NJ",2018-09-27,Overcast
"Allentown/Bethlehem/Easton, PA",2018-03-25,"Snow, Partially cloudy"
"Seattle, WA",2019-10-25,"Rain, Partially cloudy"
"Fort Lauderdale, FL",2019-06-16,"Rain, Partially cloudy"
"New Orleans, LA",2018-05-25,"Rain, Overcast"
"El Paso, TX",2018-08-26,Partially cloudy
"Nashville, TN",2018-01-15,Overcast
"Seattle, WA",2019-02-03,"Rain, Overcast"
"Cleveland, OH",2018-05-15,"Rain, Partially cloudy"
"Cincinnati, OH",2018-04-25,Overcast
"San Jose, CA",2018-12-23,Partially cloudy
"Houston, TX",2019-12-08,Partially cloudy
"Lihue, HI",2018-02-16,Clear
"Phoenix, AZ",2018-11-13,Clear
"Chicago, IL",2018-07-03,Partially cloudy
"Detroit, MI",2018-12-15,Partially cloudy
"Orlando, FL",2019-03-17,Overcast
"Los Angeles, CA",2018-09-04,Overcast
"Greer, SC",2018-04-06,"Rain, Partially cloudy"
"Kapalua, HI",2018-02-15,"Rain, Overcast"
"Newburgh/Poughkeepsie, NY",2018-03-12,"Snow, Partially cloudy"
"Dubuque, IA",2019-09-15,"Rain, Partially cloudy"
"Dallas/Fort Worth, TX",2019-03-16,Clear
"San Francisco, CA",2018-02-01,Partially cloudy
"Denver, CO",2019-02-11,Partially cloudy
"Atlanta, GA",2019-04-06,Partially cloudy
"Chicago, IL",2018-08-27,Partially cloudy
"Kahului, HI",2019-04-26,"Rain, Partially cloudy"
"Los Angeles, CA",2019-11-03,Clear
"Miami, FL",2018-11-02,Partially cloudy
"Denver, CO",2018-05-29,"Rain, Partially cloudy"
"Detroit, MI",2018-10-03,Partially cloudy
"Philadelphia, PA",2019-03-18,Partially cloudy
"Minneapolis, MN",2018-12-21,Overcast
"Cincinnati, OH",2018-10-09,Clear
"Manchester, NH",2019-09-10,Overcast
"Mosinee, WI",2019-01-22,"Snow, Overcast"
"Duluth, MN",2019-07-20,Clear
"Washington, DC",2019-08-29,Clear
"Islip, NY",2019-12-22,Clear
"Denver, CO",2019-11-06,Partially cloudy
"Kansas City, MO",2019-10-15,Partially cloudy
"Fort Wayne, IN",2018-01-11,"Snow, Overcast"
"Seattle, WA",2018-11-30,"Rain, Overcast"
"Oklahoma City, OK",2018-11-25,Partially cloudy
"Anchorage, AK",2018-12-24,Partially cloudy
"Honolulu, HI",2018-06-21,Partially cloudy
